sample,seconds,register,value
2489588,56.45324263038549,0x7A,0x10
2489621,56.45399092970521,0x34,0xD4
2489653,56.45471655328798,0x36,0xE0
2489659,56.45485260770975,0x7E,0x10
2489676,56.455238095238094,0x37,0x34
2490262,56.46852607709751,0x30,0x4C
2490279,56.46891156462585,0x31,0x60
2490296,56.4692970521542,0x32,0x38
2490329,56.47004535147392,0x34,0xB4
2490361,56.47077097505669,0x36,0xC4
2490378,56.471156462585036,0x37,0x38
2490985,56.484920634920634,0x30,0x2C
2491002,56.48530612244898,0x31,0x80
2491019,56.48569160997732,0x32,0x64
2491052,56.486439909297054,0x34,0x94
2491084,56.48716553287982,0x36,0xD8
2491101,56.48755102040816,0x37,0x20
2491156,56.48879818594104,0x1B,0x80
2491168,56.48907029478458,0x1B,0x40
2491707,56.5012925170068,0x30,0x08
2491724,56.501678004535144,0x31,0x6C
2491730,56.50181405895692,0x79,0x0C
2491747,56.50219954648526,0x32,0x90
2491780,56.50294784580499,0x34,0x88
2491812,56.503673469387756,0x36,0xF4
2491829,56.5040589569161,0x37,0x04
2492430,56.51768707482993,0x28,0x3C
2492432,56.51773242630385,0x30,0xE8
2492449,56.5181179138322,0x31,0x4C
2492466,56.51850340136055,0x32,0x68
2492498,56.51922902494331,0x34,0xA8
2492530,56.519954648526074,0x2E,0x48
2492533,56.52002267573696,0x36,0x10
2492549,56.520385487528344,0x2F,0x46
2492552,56.52045351473923,0x37,0xE8
2493154,56.53410430839002,0x30,0xC4
2493171,56.53448979591837,0x31,0x2C
2493188,56.53487528344671,0x32,0x3C
2493221,56.53562358276644,0x34,0xCC
2493253,56.53634920634921,0x36,0x28
2493270,56.53673469387755,0x37,0xCC
2493461,56.541065759637185,0x1B,0x80
2493472,56.54131519274377,0x1B,0x40
2493876,56.55047619047619,0x30,0xB4
2493893,56.55086167800454,0x31,0x08
2493910,56.55124716553288,0x32,0x10
2493942,56.551972789115645,0x34,0xEC
2493975,56.552721088435376,0x36,0x44
2493992,56.55310657596372,0x37,0xB0
2493998,56.55324263038549,0x7F,0x13
2494597,56.566825396825394,0x30,0xD4
2494614,56.56721088435374,0x29,0x36
2494616,56.567256235827664,0x31,0xE8
2494633,56.56764172335601,0x2A,0x50
2494635,56.567687074829934,0x32,0xE4
