sample,seconds,register,value
316386,7.174285714285714,0x08,0x7B
316399,7.174580498866213,0x34,0x1C
316414,7.1749206349206345,0xE4,0x73
316425,7.175170068027211,0xEC,0x84
316438,7.17546485260771,0xF4,0x63
316444,7.175600907029478,0x7C,0x0C
316450,7.175736961451247,0xFC,0x08
316455,7.175850340136054,0x08,0x7C
316468,7.1761451247165535,0x35,0x1C
316483,7.176485260770975,0xE5,0x73
316494,7.176734693877551,0xED,0x84
316507,7.17702947845805,0xF5,0x63
316513,7.177165532879819,0x7D,0x08
316519,7.177301587301588,0xFD,0x08
316524,7.177414965986395,0x08,0x7D
316548,7.17795918367347,0x76,0x06
316552,7.178049886621316,0x6E,0x06
316556,7.178140589569161,0x7E,0x09
316567,7.178390022675737,0xE6,0x07
316574,7.178548752834467,0xF6,0x25
316581,7.178707482993198,0xEE,0x25
316589,7.178888888888889,0xFE,0x25
316593,7.178979591836734,0x08,0x7E
316605,7.179251700680272,0x37,0xEC
316620,7.179591836734694,0xE7,0x73
316631,7.17984126984127,0xEF,0x84
316644,7.1801360544217685,0xF7,0x63
316650,7.180272108843537,0x7F,0x0A
316656,7.180408163265306,0xFF,0x08
316661,7.180521541950113,0x08,0x7F
316879,7.185464852607709,0x30,0x24
316927,7.18655328798186,0x33,0x44
316944,7.186938775510204,0x34,0x44
316961,7.1873242630385485,0x35,0x44
316993,7.188049886621315,0x2F,0x1E
316996,7.188117913832199,0x37,0x14
317601,7.201836734693877,0x30,0x30
317649,7.202925170068027,0x33,0x70
317666,7.203310657596372,0x34,0x70
317683,7.203696145124717,0x35,0x70
317716,7.204444444444444,0x37,0x40
318324,7.2182312925170065,0x30,0x3C
318372,7.219319727891157,0x33,0x74
318389,7.219705215419501,0x34,0x74
318406,7.220090702947846,0x35,0x74
318439,7.2208390022675735,0x37,0x44
319047,7.234625850340136,0x30,0x38
319095,7.235714285714286,0x33,0x48
319112,7.23609977324263,0x34,0x48
319129,7.236485260770975,0x35,0x48
319162,7.2372335600907025,0x37,0x18
319771,7.2510430839002264,0x30,0x2C
319820,7.252154195011338,0x33,0x1C
319837,7.252539682539682,0x34,0x1C
319854,7.2529251700680275,0x35,0x1C
319886,7.2536507936507935,0x2F,0x1D
319889,7.253718820861678,0x37,0xEC
320023,7.256757369614513,0xE2,0x2F
320024,7.256780045351474,0xEA,0x4F
320026,7.256825396825397,0xF2,0x2F
320027,7.2568480725623585,0xFA,0x2F
320491,7.2673696145124715,0x30,0x20
320522,7.2680725623582765,0x2A,0x40
320539,7.268458049886621,0xE2,0x26
320550,7.2687074829931975,0xEA,0x25
320563,7.269002267573696,0xF2,0x46
320569,7.269138321995465,0x7A,0x18
320575,7.269274376417234,0xFA,0x28
320580,7.2693877551020405,0x08,0x7A
320592,7.269659863945578,0x2B,0x2D
320595,7.269727891156463,0x33,0xF0
320611,7.270090702947845,0x2C,0x26
320614,7.27015873015873,0x34,0xF0
320630,7.270521541950114,0x2D,0x1D
320633,7.270589569160998,0x35,0xF0
320665,7.2713151927437645,0x37,0xC0
321216,7.2838095238095235,0x30,0x14
321264,7.284897959183674,0x33,0xC4
321281,7.285283446712018,0x34,0xC4
321298,7.285668934240363,0x35,0xC4
321331,7.2864172335600905,0x37,0x94
321938,7.3001814058956915,0x30,0x0C
321986,7.301269841269841,0x33,0xC0
322003,7.301655328798186,0x34,0xC0
322020,7.302040816326531,0x35,0xC0
322053,7.3027891156462585,0x37,0x90
322661,7.316575963718821,0x30,0x00
322683,7.317074829931973,0x08,0x01
322711,7.317709750566894,0x33,0xEC
322728,7.318095238095238,0x34,0xEC
322745,7.318480725623583,0x35,0xEC
322777,7.3192063492063495,0x37,0xBC
323384,7.3329705215419505,0x28,0x4D
323386,7.333015873015873,0x30,0xF8
323434,7.334104308390023,0x2B,0x2E
323436,7.334149659863946,0x33,0x14
323453,7.33453514739229,0x2C,0x28
323455,7.334580498866213,0x34,0x14
323471,7.3349433106575965,0x2D,0x1E
323474,7.3350113378684805,0x35,0x14
323506,7.335736961451247,0x37,0xE4
324106,7.349342403628118,0x28,0x4E
