sample,seconds,register,value
75553,1.713219954648526,0x30,0x70
75570,1.7136054421768707,0x31,0x70
76275,1.7295918367346939,0x30,0x4C
76292,1.7299773242630385,0x31,0x4C
77000,1.746031746031746,0x30,0x2C
77017,1.7464172335600907,0x31,0x2C
77720,1.762358276643991,0x30,0x08
77737,1.7627437641723356,0x31,0x08
77759,1.7632426303854876,0x08,0x02
77776,1.7636281179138322,0x08,0x03
77793,1.764013605442177,0x08,0x04
78442,1.7787301587301587,0x28,0x3A
78444,1.7787755102040816,0x30,0xE4
78461,1.7791609977324263,0x29,0x3A
78463,1.7792063492063492,0x31,0xE4
79168,1.7951927437641724,0x30,0xC4
79185,1.795578231292517,0x31,0xC0
79890,1.8115646258503402,0x30,0xD8
79907,1.8119501133786848,0x31,0xD4
80612,1.827936507936508,0x30,0xF8
80629,1.8283219954648526,0x31,0xF8
81332,1.8442630385487528,0x28,0x3C
81334,1.8443083900226758,0x30,0x1C
81340,1.8444444444444446,0x08,0x00
81352,1.844716553287982,0x29,0x3C
81354,1.8447619047619048,0x31,0x1C
81527,1.8486848072562359,0x1B,0x80
81547,1.849138321995465,0xE2,0xAF
81549,1.8491836734693878,0xEA,0x0F
81550,1.8492063492063493,0xF2,0x9F
81552,1.849251700680272,0xFA,0x0F
81555,1.8493197278911564,0x1B,0x40
81575,1.8497732426303855,0x1B,0x80
81594,1.850204081632653,0xE3,0xAF
81596,1.850249433106576,0xEB,0x0F
81597,1.8502721088435374,0xF3,0x9F
81599,1.8503174603174604,0xFB,0x0F
81602,1.8503854875283448,0x1B,0x40
81622,1.8508390022675736,0x1B,0x80
81641,1.8512698412698412,0xE4,0xAF
81643,1.851315192743764,0xEC,0x0F
81644,1.8513378684807256,0xF4,0x9F
81646,1.8513832199546485,0xFC,0x0F
81649,1.8514512471655329,0x1B,0x40
82056,1.8606802721088436,0x30,0x40
82073,1.8610657596371882,0x31,0x40
82089,1.8614285714285714,0x2A,0x42
82108,1.861859410430839,0x7A,0x0F
82119,1.862108843537415,0xE2,0xA5
82126,1.8622675736961452,0xF2,0x0F
82133,1.8624263038548752,0xEA,0x95
82141,1.8626077097505669,0xFA,0x08
82145,1.8626984126984127,0x08,0x7A
82156,1.8629478458049886,0x2B,0x3E
82175,1.8633786848072562,0x7B,0x0E
82186,1.863628117913832,0xE3,0xA5
82193,1.8637868480725623,0xF3,0x0F
82200,1.8639455782312926,0xEB,0x95
82208,1.864126984126984,0xFB,0x08
82212,1.86421768707483,0x08,0x7B
82223,1.8644671201814058,0x2C,0x38
82242,1.8648979591836734,0x7C,0x0E
82253,1.8651473922902495,0xE4,0xA5
82260,1.8653061224489795,0xF4,0x0F
82267,1.8654648526077098,0xEC,0x95
82275,1.8656462585034013,0xFC,0x08
82279,1.8657369614512471,0x08,0x7C
82778,1.8770521541950114,0x30,0x60
82795,1.877437641723356,0x31,0x64
83500,1.8934240362811792,0x30,0x6C
83517,1.8938095238095238,0x31,0x70
84224,1.90984126984127,0x30,0x48
84241,1.9102267573696146,0x31,0x4C
84945,1.9261904761904762,0x30,0x28
84962,1.926575963718821,0x31,0x28
85668,1.9425850340136055,0x30,0x04
85685,1.9429705215419502,0x31,0x04
85807,1.9457369614512472,0x1B,0x80
85827,1.9461904761904762,0xE0,0x7F
85829,1.9462358276643992,0xE8,0x6F
85830,1.9462585034013606,0xF0,0x8F
