sample,seconds,register,value
4030,0.09138321995464853,0x60,0x3F
4032,0.09142857142857143,0x80,0x0D
4033,0.09145124716553288,0xA0,0x01
4035,0.09149659863945578,0xC0,0x02
4036,0.09151927437641723,0xE0,0x73
4038,0.09156462585034014,0x48,0x28
4042,0.09165532879818594,0x68,0x22
4043,0.09167800453514739,0x88,0x10
4045,0.09172335600907029,0xA8,0x01
4046,0.09174603174603174,0xC8,0x02
4048,0.09179138321995464,0xE8,0x84
4051,0.091859410430839,0x50,0x34
4054,0.09192743764172336,0x70,0x1F
4056,0.09197278911564626,0x90,0x11
4057,0.0919954648526077,0xB0,0x01
4059,0.0920408163265306,0xD0,0x02
4060,0.09206349206349207,0xF0,0x63
4063,0.09213151927437642,0x58,0x16
4066,0.09219954648526077,0x78,0x11
4068,0.09224489795918367,0x98,0x13
4069,0.09226757369614512,0xB8,0x01
4071,0.09231292517006803,0xD8,0x02
4072,0.09233560090702948,0xF8,0x08
4077,0.09244897959183673,0x08,0x78
4088,0.0926984126984127,0x29,0x54
4090,0.0927437641723356,0x31,0x1C
4092,0.0927891156462585,0x21,0xF9
4096,0.09287981859410431,0x41,0x3A
4099,0.09294784580498866,0x61,0x00
4100,0.09297052154195011,0x81,0x1F
4102,0.09301587301587301,0xA1,0x01
4103,0.09303854875283447,0xC1,0x40
4107,0.09312925170068027,0x49,0x2F
4110,0.09319727891156462,0x69,0x27
4112,0.09324263038548752,0x89,0x9F
4113,0.09326530612244897,0xA9,0x1A
4115,0.09331065759637189,0xC9,0x95
4116,0.09333333333333334,0xE9,0x01
4119,0.09340136054421769,0x51,0x11
4123,0.09349206349206349,0x71,0x2F
4124,0.09351473922902494,0x91,0xD8
4126,0.09356009070294785,0xB1,0x01
4127,0.0935827664399093,0xD1,0x5F
4129,0.0936281179138322,0xF1,0x01
4132,0.09369614512471655,0x59,0x73
4135,0.0937641723356009,0x79,0x09
4137,0.09380952380952381,0x99,0xDF
4138,0.09383219954648526,0xB9,0x05
4140,0.09387755102040816,0xD9,0x49
4141,0.09390022675736961,0xF9,0x01
4146,0.09401360544217686,0x08,0x79
4157,0.09426303854875283,0x2A,0x24
4159,0.09430839002267574,0x32,0x1C
4161,0.09435374149659864,0x22,0xFB
4165,0.09444444444444444,0x42,0x11
4168,0.09451247165532879,0x62,0x20
4169,0.09453514739229026,0x82,0x06
4171,0.09458049886621316,0xA2,0x18
4172,0.0946031746031746,0xC2,0x01
4174,0.0946485260770975,0xE2,0xF4
4176,0.0946938775510204,0x4A,0x34
4179,0.09476190476190476,0x6A,0x1F
4181,0.09480725623582767,0x8A,0x15
4182,0.09482993197278912,0xAA,0x0D
4184,0.09487528344671202,0xCA,0x03
4185,0.09489795918367347,0xEA,0x24
4188,0.09496598639455782,0x52,0x52
4192,0.09505668934240363,0x72,0x20
4193,0.09507936507936508,0x92,0x15
4195,0.09512471655328798,0xB2,0x18
4196,0.09514739229024943,0xD2,0x03
4198,0.09519274376417233,0xF2,0x04
4201,0.09526077097505668,0x5A,0x21
4204,0.09532879818594105,0x7A,0x11
4206,0.09537414965986395,0x9A,0x0C
4207,0.0953968253968254,0xBA,0x0D
4209,0.0954421768707483,0xDA,0x08
4210,0.09546485260770975,0xFA,0x07
4215,0.09557823129251701,0x08,0x7A
4313,0.09780045351473923,0x2D,0x14
4315,0.09784580498866213,0x35,0x1C
4317,0.09789115646258503,0x25,0xF9
4320,0.09795918367346938,0x45,0x02
4323,0.09802721088435375,0x65,0x75
4325,0.09807256235827665,0x85,0x12
4326,0.0980952380952381,0xA5,0x0A
4328,0.098140589569161,0xC5,0x0A
4329,0.09816326530612245,0xE5,0x18
4331,0.09820861678004535,0x4D,0x13
4335,0.09829931972789116,0x6D,0x1F
4336,0.09832199546485261,0x8D,0x12
4338,0.09836734693877551,0xAD,0x08
4339,0.09839002267573696,0xCD,0x06
4341,0.09843537414965986,0xED,0x17
4344,0.09850340136054422,0x55,0x00
4347,0.09857142857142857,0x75,0x0A
4349,0.09861678004535147,0x95,0x12
4350,0.09863945578231292,0xB5,0x09
4352,0.09868480725623582,0xD5,0x07
4353,0.09870748299319727,0xF5,0x27
4356,0.09877551020408164,0x5D,0x01
4359,0.09884353741496599,0x7D,0x00
4361,0.09888888888888889,0x9D,0x5A
4362,0.09891156462585034,0xBD,0x0A
4364,0.09895691609977324,0xDD,0x05
4365,0.09897959183673469,0xFD,0x06
4370,0.09909297052154195,0x08,0x7D
4745,0.10759637188208616,0x30,0x34
4829,0.10950113378684807,0x08,0x05
5467,0.12396825396825396,0x30,0x50
6191,0.14038548752834468,0x30,0x6C
6912,0.156734693877551,0x30,0x84
7634,0.1731065759637188,0x30,0xA0
8358,0.1895238095238095,0x30,0x1C
8395,0.19036281179138323,0x08,0x02
9080,0.2058956916099773,0x30,0x00
9801,0.22224489795918367,0x28,0x62
9804,0.22231292517006804,0x30,0xE4
10525,0.23866213151927437,0x30,0xC8
10704,0.24272108843537415,0x1B,0x80
10724,0.24317460317460318,0xE2,0xFF
10726,0.24321995464852608,0xEA,0x0F
10727,0.24324263038548752,0xF2,0x2F
10729,0.24328798185941042,0xFA,0x0F
10732,0.24335600907029478,0x1B,0x40
10752,0.2438095238095238,0x1B,0x80
10759,0.24396825396825397,0x1B,0x40
10784,0.24453514739229024,0x1B,0x80
10805,0.24501133786848073,0xE3,0xFF
10806,0.24503401360544216,0xEB,0x0F
10808,0.2450793650793651,0xF3,0x2F
10809,0.24510204081632653,0xFB,0x0F
10813,0.24519274376417233,0x1B,0x40
10832,0.24562358276643992,0x1B,0x80
10839,0.24578231292517005,0x1B,0x40
10865,0.2463718820861678,0x1B,0x80
10880,0.24671201814058957,0xE4,0xFF
10882,0.24675736961451247,0xEC,0x0F
10883,0.24678004535147394,0xF4,0x2F
10885,0.24682539682539684,0xFC,0x0F
10888,0.24689342403628117,0x1B,0x40
11247,0.2550340136054422,0x30,0xB0
11279,0.2557596371882086,0x2A,0x34
11298,0.2561904761904762,0x7A,0x0D
11309,0.2564399092970521,0xE2,0xF4
11316,0.2565986394557823,0xF2,0x04
11323,0.25675736961451245,0xEA,0x24
11331,0.2569387755102041,0xFA,0x07
11335,0.2570294784580499,0x08,0x7A
11345,0.2572562358276644,0x2B,0x48
11347,0.2573015873015873,0x33,0x1C
11349,0.2573469387755102,0x23,0xFB
11353,0.25743764172335604,0x43,0x11
11356,0.2575056689342404,0x63,0x20
11357,0.25752834467120184,0x83,0x06
11359,0.2575736961451247,0xA3,0x18
11360,0.2575963718820862,0xC3,0x01
11362,0.25764172335600904,0xE3,0xF4
11364,0.257687074829932,0x4B,0x34
11367,0.2577551020408163,0x6B,0x1F
11369,0.25780045351473924,0x8B,0x15
11370,0.2578231292517007,0xAB,0x0D
11372,0.2578684807256236,0xCB,0x03
11373,0.25789115646258504,0xEB,0x24
11376,0.25795918367346937,0x53,0x52
11380,0.25804988662131517,0x73,0x20
11381,0.25807256235827664,0x93,0x15
11383,0.25811791383219956,0xB3,0x18
11384,0.25814058956916097,0xD3,0x03
11386,0.2581859410430839,0xF3,0x04
11389,0.25825396825396824,0x5B,0x21
11392,0.2583219954648526,0x7B,0x0D
11394,0.2583673469387755,0x9B,0x0C
11395,0.25839002267573696,0xBB,0x0D
11397,0.2584353741496599,0xDB,0x08
11398,0.2584580498866213,0xFB,0x07
11403,0.25857142857142856,0x08,0x7B
11414,0.25882086167800455,0x2C,0x44
11416,0.2588662131519274,0x34,0x1C
11418,0.25891156462585035,0x24,0xFB
11422,0.25900226757369615,0x44,0x11
11425,0.2590702947845805,0x64,0x20
11426,0.25909297052154195,0x84,0x06
11428,0.2591383219954648,0xA4,0x18
11429,0.2591609977324263,0xC4,0x01
11431,0.2592063492063492,0xE4,0xF4
11433,0.2592517006802721,0x4C,0x34
11436,0.2593197278911565,0x6C,0x1F
11438,0.25936507936507935,0x8C,0x15
11439,0.2593877551020408,0xAC,0x0D
11441,0.25943310657596375,0xCC,0x03
11442,0.25945578231292515,0xEC,0x24
11445,0.25952380952380955,0x54,0x52
11449,0.25961451247165535,0x74,0x20
11450,0.25963718820861675,0x94,0x15
11452,0.2596825396825397,0xB4,0x18
11453,0.25970521541950115,0xD4,0x03
11455,0.259750566893424,0xF4,0x04
11458,0.2598185941043084,0x5C,0x21
11461,0.25988662131519275,0x7C,0x10
11463,0.2599319727891157,0x9C,0x0C
11464,0.2599546485260771,0xBC,0x0D
11466,0.26,0xDC,0x08
11467,0.2600226757369615,0xFC,0x07
