sample,seconds,register,value
33022,0.7487981859410431,0x2B,0x49
33041,0.7492290249433107,0x7B,0x0B
33052,0.7494784580498867,0xE3,0xF4
33059,0.7496371882086168,0xF3,0x04
33066,0.7497959183673469,0xEB,0x24
33074,0.7499773242630385,0xFB,0x07
33078,0.7500680272108844,0x08,0x7B
33089,0.7503174603174603,0x2C,0x45
33108,0.7507482993197279,0x7C,0x0E
33119,0.7509977324263039,0xE4,0xF4
33126,0.751156462585034,0xF4,0x04
33133,0.7513151927437641,0xEC,0x24
33141,0.7514965986394558,0xFC,0x07
33145,0.7515873015873016,0x08,0x7C
33646,0.7629478458049886,0x30,0xA8
33668,0.7634467120181406,0x08,0x01
33873,0.768095238095238,0x1B,0x80
33887,0.7684126984126984,0x1B,0x40
34368,0.7793197278911564,0x30,0x14
35091,0.7957142857142857,0x28,0x62
35093,0.7957596371882086,0x30,0xF8
35814,0.812108843537415,0x30,0xDC
35978,0.8158276643990929,0x1B,0x80
35995,0.8162131519274376,0xE9,0x0F
35996,0.8162358276643991,0xF1,0x0F
35998,0.816281179138322,0xF9,0x0F
36001,0.8163492063492064,0x1B,0x40
36068,0.8178684807256236,0x1B,0x80
36083,0.8182086167800453,0xE5,0x1F
36085,0.8182539682539682,0xED,0x2F
36086,0.8182766439909297,0xF5,0x1F
36088,0.8183219954648526,0xFD,0x0F
36091,0.818390022675737,0x1B,0x40
36535,0.8284580498866213,0x30,0xC4
36589,0.8296825396825397,0xF1,0x01
36596,0.8298412698412698,0xE9,0x01
36604,0.8300226757369614,0xF9,0x01
36608,0.8301133786848073,0x08,0x79
36696,0.832108843537415,0xE5,0x18
36703,0.8322675736961451,0xF5,0x27
36710,0.8324263038548753,0xED,0x17
36718,0.8326077097505669,0xFD,0x06
36722,0.8326984126984127,0x08,0x7D
37258,0.8448526077097506,0x30,0xA8
37295,0.8456916099773243,0x08,0x02
37343,0.8467800453514739,0x08,0x05
37981,0.8612471655328798,0x30,0x8C
38175,0.8656462585034014,0x1B,0x80
38192,0.866031746031746,0x1B,0x40
38209,0.8664172335600907,0x1B,0x80
38226,0.8668027210884354,0x1B,0x40
38703,0.8776190476190476,0x28,0x64
38705,0.8776643990929706,0x30,0x24
38758,0.8788662131519275,0x7B,0x23
38764,0.8790022675736961,0x08,0x03
38780,0.8793650793650793,0x7C,0x23
38786,0.879501133786848,0x08,0x04
39426,0.8940136054421769,0x30,0x3C
39604,0.8980498866213152,0x1B,0x80
39619,0.898390022675737,0xE2,0xFF
39621,0.8984353741496599,0xEA,0x0F
39622,0.8984580498866214,0xF2,0x2F
39624,0.8985034013605442,0xFA,0x0F
39627,0.8985714285714286,0x1B,0x40
39647,0.8990249433106576,0x1B,0x80
39664,0.8994104308390023,0xE3,0xFF
39666,0.8994557823129252,0xEB,0x0F
39667,0.8994784580498866,0xF3,0x2F
39669,0.8995238095238095,0xFB,0x0F
39672,0.8995918367346939,0x1B,0x40
39692,0.900045351473923,0x1B,0x80
39709,0.9004308390022676,0xE4,0xFF
39711,0.9004761904761904,0xEC,0x0F
39712,0.9004988662131519,0xF4,0x2F
39714,0.9005442176870748,0xFC,0x0F
39717,0.9006122448979592,0x1B,0x40
40148,0.9103854875283447,0x30,0x58
40210,0.9117913832199547,0xE2,0xF4
40217,0.9119501133786848,0xF2,0x04
40224,0.912108843537415,0xEA,0x24
40232,0.9122902494331065,0xFA,0x07
40236,0.9123809523809524,0x08,0x7A
40266,0.9130612244897959,0x7B,0x14
40277,0.9133106575963719,0xE3,0xF4
40284,0.913469387755102,0xF3,0x04
40291,0.9136281179138322,0xEB,0x24
40299,0.9138095238095238,0xFB,0x07
40303,0.9139002267573696,0x08,0x7B
40333,0.9145804988662132,0x7C,0x17
40344,0.9148299319727892,0xE4,0xF4
40351,0.9149886621315193,0xF4,0x04
40358,0.9151473922902494,0xEC,0x24
40366,0.915328798185941,0xFC,0x07
40370,0.9154195011337869,0x08,0x7C
40871,0.926780045351474,0x30,0x74
41593,0.9431519274376418,0x30,0x90
42316,0.959546485260771,0x30,0xA8
43038,0.9759183673469388,0x30,0x10
43761,0.992312925170068,0x28,0x62
43763,0.9923582766439909,0x30,0xF4
43784,0.9928344671201814,0x08,0x01
44485,1.0087301587301587,0x30,0xDC
44522,1.0095691609977324,0x08,0x02
44712,1.013877551020408,0x1B,0x80
44726,1.0141950113378684,0x1B,0x40
45207,1.0251020408163265,0x30,0xC0
45403,1.029546485260771,0x1B,0x80
45420,1.0299319727891156,0x1B,0x40
45437,1.0303174603174603,0x1B,0x80
45454,1.030702947845805,0x1B,0x40
45930,1.0414965986394558,0x30,0xA4
45983,1.0426984126984127,0x7B,0x23
45989,1.0428344671201815,0x08,0x03
46005,1.0431972789115647,0x7C,0x23
46011,1.0433333333333332,0x08,0x04
46108,1.045532879818594,0x1B,0x80
46113,1.0456462585034014,0x1B,0x40
46179,1.0471428571428572,0x1B,0x80
46184,1.0472562358276645,0x1B,0x40
46652,1.0578684807256236,0x30,0x8C
46790,1.0609977324263038,0x1B,0x80
46796,1.0611337868480726,0x1B,0x40
46823,1.0617460317460317,0x1B,0x80
46832,1.0619501133786848,0x1B,0x40
46858,1.0625396825396825,0x1B,0x80
46882,1.0630839002267574,0xE9,0x0F
46883,1.0631065759637188,0xF1,0x0F
46885,1.0631519274376418,0xF9,0x0F
46888,1.0632199546485261,0x1B,0x40
46908,1.0636734693877552,0x1B,0x80
46927,1.0641043083900226,0xE2,0xFF
46929,1.0641496598639455,0xEA,0x0F
46930,1.064172335600907,0xF2,0x2F
46932,1.0642176870748299,0xFA,0x0F
46935,1.0642857142857143,0x1B,0x40
46955,1.0647392290249433,0x1B,0x80
46967,1.0650113378684807,0x1B,0x40
46984,1.0653968253968253,0x1B,0x80
46996,1.065668934240363,0x1B,0x40
47013,1.0660544217687076,0x1B,0x80
47022,1.0662585034013605,0x1B,0x40
47048,1.0668480725623584,0x1B,0x80
47070,1.0673469387755101,0xE5,0x1F
47072,1.067392290249433,0xED,0x2F
47073,1.0674149659863945,0xF5,0x1F
47075,1.0674603174603174,0xFD,0x0F
47078,1.0675283446712018,0x1B,0x40
47373,1.07421768707483,0x28,0x64
47376,1.0742857142857143,0x30,0x24
47419,1.0752607709750568,0xE9,0x01
47432,1.0755555555555556,0xF1,0x01
47444,1.075827664399093,0xF9,0x01
47449,1.0759410430839003,0x08,0x79
47461,1.0762131519274376,0x2A,0x24
47480,1.0766439909297052,0x7A,0x0D
47491,1.076893424036281,0xE2,0xF4
47498,1.0770521541950113,0xF2,0x04
47505,1.0772108843537416,0xEA,0x24
47513,1.077392290249433,0xFA,0x07
