sample,seconds,command,chip,address,value,note
43960,0.9968253968253968,0x54,YM2151,0xF0,0x8F,
43961,0.9968480725623583,0x54,YM2151,0xF8,0x0F,
44051,0.9988888888888889,0x54,YM2151,0xE1,0x7F,
44052,0.9989115646258503,0x54,YM2151,0xE9,0x6F,
44054,0.9989569160997732,0x54,YM2151,0xF1,0x8F,
44055,0.9989795918367347,0x54,YM2151,0xF9,0x0F,
44482,1.0086621315192743,0x54,YM2151,0x28,0x58,
44484,1.0087074829931972,0x54,YM2151,0x30,0x1C,
44486,1.0087528344671202,0x54,YM2151,0x20,0xF9,
44489,1.0088208616780046,0x54,YM2151,0x40,0x12,
44492,1.008888888888889,0x54,YM2151,0x60,0x3F,
44494,1.0089342403628119,0x54,YM2151,0x80,0x0D,
44495,1.0089569160997733,0x54,YM2151,0xA0,0x01,
44497,1.009002267573696,0x54,YM2151,0xC0,0x02,
44498,1.0090249433106575,0x54,YM2151,0xE0,0x73,
44500,1.0090702947845804,0x54,YM2151,0x48,0x28,
44504,1.0091609977324263,0x54,YM2151,0x68,0x22,
44505,1.0091836734693878,0x54,YM2151,0x88,0x10,
44507,1.0092290249433107,0x54,YM2151,0xA8,0x01,
44508,1.0092517006802721,0x54,YM2151,0xC8,0x02,
44510,1.009297052154195,0x54,YM2151,0xE8,0x84,
44513,1.0093650793650795,0x54,YM2151,0x50,0x34,
44516,1.0094331065759636,0x54,YM2151,0x70,0x1F,
44518,1.0094784580498866,0x54,YM2151,0x90,0x11,
44519,1.009501133786848,0x54,YM2151,0xB0,0x01,
44521,1.009546485260771,0x54,YM2151,0xD0,0x02,
44522,1.0095691609977324,0x54,YM2151,0xF0,0x63,
44525,1.0096371882086168,0x54,YM2151,0x58,0x16,
44528,1.0097052154195012,0x54,YM2151,0x78,0x25,
44530,1.0097505668934241,0x54,YM2151,0x98,0x13,
44531,1.0097732426303856,0x54,YM2151,0xB8,0x01,
44533,1.0098185941043083,0x54,YM2151,0xD8,0x02,
44534,1.0098412698412698,0x54,YM2151,0xF8,0x08,
44539,1.009954648526077,0x54,YM2151,0x08,0x78,
44550,1.010204081632653,0x54,YM2151,0x29,0x48,
44552,1.010249433106576,0x54,YM2151,0x31,0x1C,
44554,1.0102947845804988,0x54,YM2151,0x21,0xF9,
44558,1.0103854875283447,0x54,YM2151,0x41,0x12,
44561,1.010453514739229,0x54,YM2151,0x61,0x3F,
44562,1.0104761904761905,0x54,YM2151,0x81,0x0D,
44564,1.0105215419501135,0x54,YM2151,0xA1,0x01,
44565,1.010544217687075,0x54,YM2151,0xC1,0x02,
44567,1.0105895691609976,0x54,YM2151,0xE1,0x73,
44569,1.0106349206349206,0x54,YM2151,0x49,0x28,
44572,1.010702947845805,0x54,YM2151,0x69,0x22,
44574,1.0107482993197279,0x54,YM2151,0x89,0x10,
44575,1.0107709750566893,0x54,YM2151,0xA9,0x01,
44577,1.0108163265306123,0x54,YM2151,0xC9,0x02,
44578,1.0108390022675737,0x54,YM2151,0xE9,0x84,
44581,1.0109070294784581,0x54,YM2151,0x51,0x34,
44585,1.0109977324263038,0x54,YM2151,0x71,0x1F,
44586,1.0110204081632652,0x54,YM2151,0x91,0x11,
44588,1.0110657596371881,0x54,YM2151,0xB1,0x01,
44589,1.0110884353741496,0x54,YM2151,0xD1,0x02,
44591,1.0111337868480725,0x54,YM2151,0xF1,0x63,
44594,1.011201814058957,0x54,YM2151,0x59,0x16,
44597,1.0112698412698413,0x54,YM2151,0x79,0x25,
44599,1.0113151927437642,0x54,YM2151,0x99,0x13,
44600,1.0113378684807257,0x54,YM2151,0xB9,0x01,
44602,1.0113832199546484,0x54,YM2151,0xD9,0x02,
44603,1.0114058956916099,0x54,YM2151,0xF9,0x08,
44608,1.0115192743764172,0x54,YM2151,0x08,0x79,
45206,1.025079365079365,0x54,YM2151,0x30,0x2C,
45223,1.0254648526077097,0x54,YM2151,0x31,0x2C,
45929,1.0414739229024943,0x54,YM2151,0x30,0x40,
45946,1.041859410430839,0x54,YM2151,0x31,0x40,
46652,1.0578684807256236,0x54,YM2151,0x30,0x54,
46669,1.0582539682539682,0x54,YM2151,0x31,0x54,
47375,1.0742630385487528,0x54,YM2151,0x30,0x68,
47392,1.0746485260770975,0x54,YM2151,0x31,0x68,
48096,1.0906122448979592,0x54,YM2151,0x30,0x08,
48113,1.0909977324263038,0x54,YM2151,0x31,0x08,
48818,1.106984126984127,0x54,YM2151,0x28,0x56,
48821,1.1070521541950114,0x54,YM2151,0x30,0xF4,
48837,1.1074149659863946,0x54,YM2151,0x29,0x46,
48840,1.107482993197279,0x54,YM2151,0x31,0xF4,
49541,1.1233786848072562,0x54,YM2151,0x30,0xE0,
49558,1.1237641723356009,0x54,YM2151,0x31,0xE0,
50263,1.139750566893424,0x54,YM2151,0x30,0xCC,
50269,1.1398866213151928,0x54,YM2151,0x78,0x22,
50286,1.1402721088435375,0x54,YM2151,0x31,0xCC,
50292,1.140408163265306,0x54,YM2151,0x79,0x22,
50986,1.1561451247165533,0x54,YM2151,0x28,0x58,
50989,1.1562131519274377,0x54,YM2151,0x30,0x28,
51005,1.1565759637188209,0x54,YM2151,0x29,0x48,
51008,1.1566439909297053,0x54,YM2151,0x31,0x28,
51709,1.1725396825396825,0x54,YM2151,0x30,0x3C,
51726,1.1729251700680272,0x54,YM2151,0x31,0x3C,
52432,1.1889342403628118,0x54,YM2151,0x30,0x50,
52449,1.1893197278911565,0x54,YM2151,0x31,0x50,
53154,1.2053061224489796,0x54,YM2151,0x30,0x64,
53160,1.2054421768707484,0x54,YM2151,0x78,0x1F,
53176,1.2058049886621316,0x54,YM2151,0x31,0x64,
53182,1.2059410430839002,0x54,YM2151,0x79,0x1F,
53877,1.2217006802721089,0x54,YM2151,0x30,0x0C,
53894,1.2220861678004535,0x54,YM2151,0x31,0x0C,
54599,1.2380725623582767,0x54,YM2151,0x28,0x56,
54601,1.2381179138321996,0x54,YM2151,0x30,0xF8,
54618,1.2385034013605443,0x54,YM2151,0x29,0x46,
54620,1.2385487528344672,0x54,YM2151,0x31,0xF8,
55321,1.2544444444444445,0x54,YM2151,0x30,0xE4,
55338,1.2548299319727891,0x54,YM2151,0x31,0xE4,
56044,1.2708390022675737,0x54,YM2151,0x30,0xD0,
56050,1.2709750566893423,0x54,YM2151,0x78,0x1C,
56067,1.2713605442176872,0x54,YM2151,0x31,0xD0,
56073,1.2714965986394557,0x54,YM2151,0x79,0x1C,
56766,1.2872108843537415,0x54,YM2151,0x28,0x58,
56769,1.287278911564626,0x54,YM2151,0x30,0x24,
56785,1.2876417233560091,0x54,YM2151,0x29,0x48,
56788,1.2877097505668935,0x54,YM2151,0x31,0x24,
57489,1.3036054421768708,0x54,YM2151,0x30,0x38,
57506,1.3039909297052155,0x54,YM2151,0x31,0x38,
58212,1.32,0x54,YM2151,0x30,0x4C,
58229,1.3203854875283447,0x54,YM2151,0x31,0x4C,
58936,1.3364172335600908,0x54,YM2151,0x30,0x60,
58942,1.3365532879818594,0x54,YM2151,0x78,0x1A,
58959,1.336938775510204,0x54,YM2151,0x31,0x60,
58965,1.3370748299319728,0x54,YM2151,0x79,0x1A,
59657,1.3527664399092971,0x54,YM2151,0x30,0x10,
59674,1.3531519274376418,0x54,YM2151,0x31,0x10,
60379,1.369138321995465,0x54,YM2151,0x28,0x56,
60381,1.3691836734693879,0x54,YM2151,0x30,0xFC,
60398,1.3695691609977325,0x54,YM2151,0x29,0x46,
60400,1.3696145124716552,0x54,YM2151,0x31,0xFC,
61104,1.3855782312925171,0x54,YM2151,0x30,0xE8,
61121,1.3859637188208618,0x54,YM2151,0x31,0xE8,
61826,1.401950113378685,0x54,YM2151,0x30,0xD4,
61832,1.4020861678004535,0x54,YM2151,0x78,0x18,
61849,1.4024716553287981,0x54,YM2151,0x31,0xD4,
61855,1.402607709750567,0x54,YM2151,0x79,0x19,
62546,1.4182766439909298,0x54,YM2151,0x28,0x58,
62549,1.418344671201814,0x54,YM2151,0x30,0x24,
62565,1.4187074829931974,0x54,YM2151,0x29,0x48,
62568,1.4187755102040815,0x54,YM2151,0x31,0x24,
63269,1.434671201814059,0x54,YM2151,0x30,0x34,
63286,1.4350566893424037,0x54,YM2151,0x31,0x34,
63992,1.4510657596371883,0x54,YM2151,0x30,0x48,
64009,1.451451247165533,0x54,YM2151,0x31,0x48,
64716,1.4674829931972788,0x54,YM2151,0x30,0x5C,
64722,1.4676190476190476,0x54,YM2151,0x78,0x17,
64738,1.4679818594104308,0x54,YM2151,0x31,0x5C,
64744,1.4681179138321996,0x54,YM2151,0x79,0x17,
65437,1.4838321995464852,0x54,YM2151,0x30,0x14,
65454,1.48421768707483,0x54,YM2151,0x31,0x14,
66161,1.5002494331065759,0x54,YM2151,0x30,0x00,
66178,1.5006349206349205,0x54,YM2151,0x31,0x00,
66882,1.5165986394557822,0x54,YM2151,0x28,0x56,
66884,1.5166439909297051,0x54,YM2151,0x30,0xEC,
66901,1.5170294784580498,0x54,YM2151,0x29,0x46,
66903,1.5170748299319727,0x54,YM2151,0x31,0xEC,
67604,1.53297052154195,0x54,YM2151,0x30,0xD8,
67610,1.5331065759637188,0x54,YM2151,0x78,0x15,
67627,1.5334920634920635,0x54,YM2151,0x31,0xD8,
67633,1.5336281179138322,0x54,YM2151,0x79,0x15,
68327,1.5493650793650793,0x54,YM2151,0x28,0x58,
68330,1.5494331065759637,0x54,YM2151,0x30,0x20,
68346,1.5497959183673469,0x54,YM2151,0x29,0x48,
68349,1.5498639455782313,0x54,YM2151,0x31,0x20,
69050,1.5657596371882085,0x54,YM2151,0x30,0x30,
69067,1.5661451247165532,0x54,YM2151,0x31,0x30,
69772,1.5821315192743763,0x54,YM2151,0x30,0x44,
69789,1.582517006802721,0x54,YM2151,0x31,0x44,
70495,1.5985260770975056,0x54,YM2151,0x30,0x58,
70512,1.5989115646258503,0x54,YM2151,0x31,0x58,
71220,1.6149659863945578,0x54,YM2151,0x30,0x18,
71237,1.6153514739229025,0x54,YM2151,0x31,0x18,
71940,1.6312925170068027,0x54,YM2151,0x30,0x04,
71957,1.6316780045351473,0x54,YM2151,0x31,0x04,
72662,1.6476643990929705,0x54,YM2151,0x28,0x56,
72664,1.6477097505668934,0x54,YM2151,0x30,0xF0,
72681,1.648095238095238,0x54,YM2151,0x29,0x46,
72683,1.648140589569161,0x54,YM2151,0x31,0xF0,
73386,1.6640816326530612,0x54,YM2151,0x30,0xDC,
73403,1.6644671201814059,0x54,YM2151,0x31,0xDC,
74109,1.6804761904761905,0x54,YM2151,0x28,0x58,
74112,1.6805442176870748,0x54,YM2151,0x30,0x1C,
74128,1.680907029478458,0x54,YM2151,0x29,0x48,
74131,1.6809750566893424,0x54,YM2151,0x31,0x1C,
74832,1.6968707482993197,0x54,YM2151,0x30,0x30,
74849,1.6972562358276644,0x54,YM2151,0x31,0x30,
75552,1.7131972789115646,0x54,YM2151,0x30,0x40,
75569,1.7135827664399093,0x54,YM2151,0x31,0x40,
76275,1.7295918367346939,0x54,YM2151,0x30,0x54,
76292,1.7299773242630385,0x54,YM2151,0x31,0x54,
76998,1.7459863945578231,0x54,YM2151,0x30,0x68,
77015,1.7463718820861678,0x54,YM2151,0x31,0x68,
77720,1.762358276643991,0x54,YM2151,0x30,0x08,
77737,1.7627437641723356,0x54,YM2151,0x31,0x08,
78442,1.7787301587301587,0x54,YM2151,0x28,0x56,
78444,1.7787755102040816,0x54,YM2151,0x30,0xF4,
78461,1.7791609977324263,0x54,YM2151,0x29,0x46,
78463,1.7792063492063492,0x54,YM2151,0x31,0xF4,
79166,1.7951473922902494,0x54,YM2151,0x30,0xE0,
79183,1.795532879818594,0x54,YM2151,0x31,0xE0,
79888,1.8115192743764172,0x54,YM2151,0x30,0xCC,
79905,1.811904761904762,0x54,YM2151,0x31,0xCC,
80611,1.8279138321995465,0x54,YM2151,0x28,0x58,
80614,1.827981859410431,0x54,YM2151,0x30,0x2C,
80630,1.828344671201814,0x54,YM2151,0x29,0x48,
80633,1.8284126984126985,0x54,YM2151,0x31,0x2C,
81335,1.8443310657596372,0x54,YM2151,0x30,0x3C,
81352,1.844716553287982,0x54,YM2151,0x31,0x3C,
82055,1.860657596371882,0x54,YM2151,0x30,0x50,
82072,1.8610430839002268,0x54,YM2151,0x31,0x50,
82777,1.87702947845805,0x54,YM2151,0x30,0x64,
82794,1.8774149659863946,0x54,YM2151,0x31,0x64,
83502,1.893469387755102,0x54,YM2151,0x30,0x0C,
83519,1.8938548752834468,0x54,YM2151,0x31,0x0C,
84223,1.9098185941043084,0x54,YM2151,0x28,0x56,
84225,1.9098639455782314,0x54,YM2151,0x30,0xF8,
84242,1.910249433106576,0x54,YM2151,0x29,0x46,
84244,1.910294784580499,0x54,YM2151,0x31,0xF8,
84517,1.916485260770975,0x54,YM2151,0xE3,0x0F,
84518,1.9165079365079365,0x54,YM2151,0xEB,0x7F,
84520,1.9165532879818594,0x54,YM2151,0xF3,0xDF,
84521,1.9165759637188209,0x54,YM2151,0xFB,0xDF,
84599,1.918344671201814,0x54,YM2151,0xE4,0x1F,
84600,1.9183673469387754,0x54,YM2151,0xEC,0x2F,
84602,1.9184126984126983,0x54,YM2151,0xF4,0x1F,
84603,1.9184353741496598,0x54,YM2151,0xFC,0x0F,
84681,1.920204081632653,0x54,YM2151,0xE5,0x0F,
84682,1.9202267573696146,0x54,YM2151,0xED,0x7F,
84684,1.9202721088435375,0x54,YM2151,0xF5,0xDF,
84685,1.920294784580499,0x54,YM2151,0xFD,0xDF,
84945,1.9261904761904762,0x54,YM2151,0x30,0xE4,
84962,1.926575963718821,0x54,YM2151,0x31,0xE4,
84995,1.9273242630385488,0x54,YM2151,0x2B,0x28,
84997,1.9273696145124717,0x54,YM2151,0x33,0x1C,
84999,1.9274149659863946,0x54,YM2151,0x23,0xE2,
85002,1.927482993197279,0x54,YM2151,0x43,0x01,
85005,1.9275510204081632,0x54,YM2151,0x63,0x05,
85007,1.927596371882086,0x54,YM2151,0x83,0x9F,
85008,1.9276190476190476,0x54,YM2151,0xA3,0x01,
85010,1.9276643990929705,0x54,YM2151,0xC3,0x02,
85011,1.927687074829932,0x54,YM2151,0xE3,0x08,
85013,1.9277324263038549,0x54,YM2151,0x4B,0x22,
85017,1.9278231292517007,0x54,YM2151,0x6B,0x13,
85018,1.9278458049886622,0x54,YM2151,0x8B,0x1F,
85020,1.9278911564625851,0x54,YM2151,0xAB,0x01,
85021,1.9279138321995466,0x54,YM2151,0xCB,0x03,
85023,1.9279591836734693,0x54,YM2151,0xEB,0xD6,
85026,1.9280272108843537,0x54,YM2151,0x53,0x13,
85029,1.928095238095238,0x54,YM2151,0x73,0x27,
85031,1.928140589569161,0x54,YM2151,0x93,0x5F,
85032,1.9281632653061225,0x54,YM2151,0xB3,0x00,
85034,1.9282086167800454,0x54,YM2151,0xD3,0x03,
85035,1.9282312925170069,0x54,YM2151,0xF3,0x75,
85038,1.9282993197278913,0x54,YM2151,0x5B,0x01,
85041,1.9283673469387754,0x54,YM2151,0x7B,0x0B,
85043,1.9284126984126984,0x54,YM2151,0x9B,0x1F,
85044,1.9284353741496598,0x54,YM2151,0xBB,0x02,
85047,1.9285034013605442,0x54,YM2151,0xFB,0xD7,
85052,1.9286167800453515,0x54,YM2151,0x08,0x7B,
85063,1.9288662131519274,0x54,YM2151,0x2C,0x21,
85065,1.9289115646258503,0x54,YM2151,0x34,0x1C,
85067,1.9289569160997733,0x54,YM2151,0x24,0xF9,
85071,1.9290476190476191,0x54,YM2151,0x44,0x02,
85074,1.9291156462585033,0x54,YM2151,0x64,0x75,
85075,1.9291383219954648,0x54,YM2151,0x84,0x12,
85077,1.9291836734693877,0x54,YM2151,0xA4,0x0A,
85078,1.9292063492063491,0x54,YM2151,0xC4,0x0A,
85080,1.929251700680272,0x54,YM2151,0xE4,0x18,
85082,1.929297052154195,0x54,YM2151,0x4C,0x13,
85085,1.9293650793650794,0x54,YM2151,0x6C,0x1F,
85087,1.9294104308390023,0x54,YM2151,0x8C,0x12,
85088,1.9294331065759638,0x54,YM2151,0xAC,0x08,
85090,1.9294784580498867,0x54,YM2151,0xCC,0x06,
85091,1.9295011337868482,0x54,YM2151,0xEC,0x17,
85094,1.9295691609977323,0x54,YM2151,0x54,0x00,
85098,1.9296598639455782,0x54,YM2151,0x74,0x0A,
85099,1.9296825396825397,0x54,YM2151,0x94,0x12,
85101,1.9297278911564626,0x54,YM2151,0xB4,0x09,
85102,1.929750566893424,0x54,YM2151,0xD4,0x07,
85104,1.929795918367347,0x54,YM2151,0xF4,0x27,
85107,1.9298639455782314,0x54,YM2151,0x5C,0x01,
85110,1.9299319727891155,0x54,YM2151,0x7C,0x09,
85112,1.9299773242630385,0x54,YM2151,0x9C,0x5A,
85113,1.93,0x54,YM2151,0xBC,0x0A,
85115,1.9300453514739229,0x54,YM2151,0xDC,0x05,
85116,1.9300680272108843,0x54,YM2151,0xFC,0x06,
85121,1.9301814058956916,0x54,YM2151,0x08,0x7C,
85132,1.9304308390022675,0x54,YM2151,0x2D,0x18,
85134,1.9304761904761905,0x54,YM2151,0x35,0x1C,
85136,1.9305215419501134,0x54,YM2151,0x25,0xE2,
85140,1.9306122448979592,0x54,YM2151,0x45,0x01,
85143,1.9306802721088436,0x54,YM2151,0x65,0x05,
85144,1.930702947845805,0x54,YM2151,0x85,0x9F,
85146,1.9307482993197278,0x54,YM2151,0xA5,0x01,
85147,1.9307709750566893,0x54,YM2151,0xC5,0x02,
85149,1.9308163265306122,0x54,YM2151,0xE5,0x08,
85151,1.9308616780045351,0x54,YM2151,0x4D,0x22,
85154,1.9309297052154195,0x54,YM2151,0x6D,0x13,
85156,1.9309750566893424,0x54,YM2151,0x8D,0x1F,
85157,1.930997732426304,0x54,YM2151,0xAD,0x01,
85159,1.9310430839002268,0x54,YM2151,0xCD,0x03,
85160,1.9310657596371883,0x54,YM2151,0xED,0xD6,
85163,1.9311337868480725,0x54,YM2151,0x55,0x13,
85167,1.9312244897959183,0x54,YM2151,0x75,0x27,
85168,1.9312471655328798,0x54,YM2151,0x95,0x5F,
85170,1.9312925170068027,0x54,YM2151,0xB5,0x00,
85171,1.9313151927437642,0x54,YM2151,0xD5,0x03,
85173,1.931360544217687,0x54,YM2151,0xF5,0x75,
85176,1.9314285714285715,0x54,YM2151,0x5D,0x01,
85179,1.9314965986394559,0x54,YM2151,0x7D,0x09,
85181,1.9315419501133786,0x54,YM2151,0x9D,0x1F,
85182,1.93156462585034,0x54,YM2151,0xBD,0x02,
85185,1.9316326530612244,0x54,YM2151,0xFD,0xD7,
85190,1.9317460317460318,0x54,YM2151,0x08,0x7D,
85668,1.9425850340136055,0x54,YM2151,0x30,0xD0,
85685,1.9429705215419502,0x54,YM2151,0x31,0xD0,
86390,1.9589569160997733,0x54,YM2151,0x28,0x58,
86392,1.9590022675736962,0x54,YM2151,0x30,0x28,
86409,1.9593877551020409,0x54,YM2151,0x29,0x48,
86411,1.9594331065759638,0x54,YM2151,0x31,0x28,
86448,1.9602721088435373,0x54,YM2151,0x08,0x03,
86465,1.9606575963718822,0x54,YM2151,0x08,0x04,
86482,1.9610430839002269,0x54,YM2151,0x08,0x05,
87113,1.9753514739229026,0x54,YM2151,0x30,0x38,
87130,1.9757369614512472,0x54,YM2151,0x31,0x38,
87836,1.9917460317460318,0x54,YM2151,0x30,0x4C,
87853,1.9921315192743765,0x54,YM2151,0x31,0x4C,
88559,2.008140589569161,0x54,YM2151,0x30,0x60,
88576,2.0085260770975055,0x54,YM2151,0x31,0x60,
89283,2.0245578231292516,0x54,YM2151,0x30,0x10,
89300,2.0249433106575965,0x54,YM2151,0x31,0x10,
89509,2.0296825396825398,0x54,YM2151,0xE3,0x0F,
89511,2.0297278911564627,0x54,YM2151,0xEB,0x7F,
89512,2.029750566893424,0x54,YM2151,0xF3,0xDF,
89514,2.029795918367347,0x54,YM2151,0xFB,0xDF,
89556,2.030748299319728,0x54,YM2151,0xE4,0x1F,
89557,2.030770975056689,0x54,YM2151,0xEC,0x2F,
89559,2.030816326530612,0x54,YM2151,0xF4,0x1F,
89560,2.0308390022675735,0x54,YM2151,0xFC,0x0F,
89602,2.0317913832199546,0x54,YM2151,0xE5,0x0F,
89604,2.0318367346938775,0x54,YM2151,0xED,0x7F,
89605,2.031859410430839,0x54,YM2151,0xF5,0xDF,
89607,2.031904761904762,0x54,YM2151,0xFD,0xDF,
90005,2.0409297052154196,0x54,YM2151,0x28,0x56,
90008,2.040997732426304,0x54,YM2151,0x30,0xFC,
90024,2.041360544217687,0x54,YM2151,0x29,0x46,
90027,2.0414285714285714,0x54,YM2151,0x31,0xFC,
90078,2.0425850340136056,0x54,YM2151,0x7B,0x0E,
90089,2.0428344671201812,0x54,YM2151,0xE3,0x08,
90096,2.0429931972789115,0x54,YM2151,0xF3,0x75,
90103,2.0431519274376417,0x54,YM2151,0xEB,0xD6,
90111,2.0433333333333334,0x54,YM2151,0xFB,0xD7,
90115,2.0434240362811793,0x54,YM2151,0x08,0x7B,
90145,2.0441043083900228,0x54,YM2151,0x7C,0x0C,
90156,2.0443537414965984,0x54,YM2151,0xE4,0x18,
90163,2.0445124716553287,0x54,YM2151,0xF4,0x27,
90170,2.044671201814059,0x54,YM2151,0xEC,0x17,
90178,2.0448526077097506,0x54,YM2151,0xFC,0x06,
90182,2.0449433106575965,0x54,YM2151,0x08,0x7C,
90212,2.04562358276644,0x54,YM2151,0x7D,0x0C,
90223,2.045873015873016,0x54,YM2151,0xE5,0x08,
90230,2.046031746031746,0x54,YM2151,0xF5,0x75,
90237,2.046190476190476,0x54,YM2151,0xED,0xD6,
90245,2.046371882086168,0x54,YM2151,0xFD,0xD7,
90249,2.0464625850340137,0x54,YM2151,0x08,0x7D,
90728,2.0573242630385487,0x54,YM2151,0x30,0xE8,
90745,2.0577097505668935,0x54,YM2151,0x31,0xE8,
91448,2.0736507936507937,0x54,YM2151,0x30,0xD4,
91465,2.074036281179138,0x54,YM2151,0x31,0xD4,
91502,2.074875283446712,0x54,YM2151,0x08,0x03,
91519,2.075260770975057,0x54,YM2151,0x08,0x04,
91536,2.0756462585034012,0x54,YM2151,0x08,0x05,
92171,2.090045351473923,0x54,YM2151,0x28,0x58,
