arcade_pc	instruction	function	references_from	note
0x045DEE	jsr 0x0003a2d0.l	FUN_00045dc4	UNCONDITIONAL_CALL:0003a2d0	manual review for dynamic dispatch/table
0x045E28	jsr 0x0003d054.l	FUN_00045dfa	UNCONDITIONAL_CALL:0003d054	manual review for dynamic dispatch/table
0x045E64	jsr 0x0003d054.l	FUN_00045dfa	UNCONDITIONAL_CALL:0003d054	manual review for dynamic dispatch/table
0x045E9E	jsr 0x0003d054.l	FUN_00045dfa	UNCONDITIONAL_CALL:0003d054	manual review for dynamic dispatch/table
0x045FAC	jsr 0x00045342.l		UNCONDITIONAL_CALL:00045342	manual review for dynamic dispatch/table
0x045FB6	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x045FC2	jmp 0x0004bbca.l		UNCONDITIONAL_CALL:0004bbca	manual review for dynamic dispatch/table
0x045FE4	jsr 0x00045342.l		UNCONDITIONAL_CALL:00045342	manual review for dynamic dispatch/table
0x045FEE	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x045FFA	jmp 0x0004bbca.l		UNCONDITIONAL_CALL:0004bbca	manual review for dynamic dispatch/table
0x04602C	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x046068	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x046124	jsr 0x00045342.l		UNCONDITIONAL_CALL:00045342	manual review for dynamic dispatch/table
0x04615A	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x046196	jsr 0x0004092e.l		UNCONDITIONAL_CALL:0004092e	manual review for dynamic dispatch/table
0x046ACE	lea (0x60,PC),A0	FUN_00046ab4	DATA:00046b30	manual review for dynamic dispatch/table
0x046CD0	lea (0x2c,PC),A0		DATA:00046cfe	manual review for dynamic dispatch/table
0x046D10	lea (0x24,PC),A0		DATA:00046d36	manual review for dynamic dispatch/table
0x046D48	lea (0x2e,PC),A0		DATA:00046d78	manual review for dynamic dispatch/table
0x047018	lea (0x72,PC),A3	FUN_00047004	DATA:0004708c	manual review for dynamic dispatch/table
0x04738A	jsr 0x00053a2e.l	FUN_0004736a	UNCONDITIONAL_CALL:00053a2e	manual review for dynamic dispatch/table
0x0473B0	jsr 0x000447f0.l	FUN_0004736a	UNCONDITIONAL_CALL:000447f0	manual review for dynamic dispatch/table
0x0474DC	lea (0x10,PC),A0		DATA:000474ee	manual review for dynamic dispatch/table
0x04751E	lea (0x10,PC),A0		DATA:00047530	manual review for dynamic dispatch/table
0x047552	lea (0xe,PC),A0		DATA:00047562	manual review for dynamic dispatch/table
0x04756C	lea (0x10,PC),A0		DATA:0004757e	manual review for dynamic dispatch/table
0x04759A	lea (0x10,PC),A0		DATA:000475ac	manual review for dynamic dispatch/table
0x04770E	move.w (0x4771c,PC,D0w*0x1),D0w	FUN_0004770e	DATA:0004771c	manual review for dynamic dispatch/table
0x047712	lea (0x4771c,PC,D0w*0x1),A0	FUN_0004770e		manual review for dynamic dispatch/table
0x047716	jmp 0x0003c902.l	FUN_0004770e	UNCONDITIONAL_CALL:0003c902	manual review for dynamic dispatch/table
0x04CA24	jsr 0x00046790.l		UNCONDITIONAL_CALL:00046790	manual review for dynamic dispatch/table
0x04CA3E	jsr 0x00046790.l		UNCONDITIONAL_CALL:00046790	manual review for dynamic dispatch/table
0x04CFE2	jsr 0x00046bc4.l		UNCONDITIONAL_CALL:00046bc4	manual review for dynamic dispatch/table
0x0529E2	jsr 0x0003a0ec.l	FUN_000529cc	UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054F0C	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054F22	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054F38	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054F4E	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054F64	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054FD8	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x054FF0	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055008	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055020	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x05502C	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055042	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055058	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055064	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x0555BC	jsr 0x0003a0ec.l	FUN_000555b8	UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x055610	jsr 0x0003a0ec.l	FUN_0005560c	UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x057290	jsr 0x0003a0ec.l		UNCONDITIONAL_CALL:0003a0ec	manual review for dynamic dispatch/table
0x057454	jsr 0x00055ab4.l	FUN_0005744e	UNCONDITIONAL_CALL:00055ab4	manual review for dynamic dispatch/table
0x057466	jsr 0x0005a4de.l	FUN_0005744e	UNCONDITIONAL_CALL:0005a4de	manual review for dynamic dispatch/table
0x057478	jsr 0x0005a4de.l	FUN_0005744e	UNCONDITIONAL_CALL:0005a4de	manual review for dynamic dispatch/table
0x05748A	jsr 0x0005a4de.l	FUN_0005744e	UNCONDITIONAL_CALL:0005a4de	manual review for dynamic dispatch/table
0x05749C	jsr 0x0005a4de.l	FUN_0005744e	UNCONDITIONAL_CALL:0005a4de	manual review for dynamic dispatch/table
0x0574B0	jsr 0x0005a4de.l	FUN_000574a4	UNCONDITIONAL_CALL:0005a4de	manual review for dynamic dispatch/table
0x05FFAC	lea (0x30,PC),A1	FUN_0005ffa2	DATA:0005ffde	manual review for dynamic dispatch/table
0x05FFBC	lea (0x30,PC),A1	FUN_0005ffb2	DATA:0005ffee	manual review for dynamic dispatch/table
0x05FFC2	lea (0xa,PC),A1	FUN_0005ffb2	DATA:0005ffce	manual review for dynamic dispatch/table
