arcade_pc	name	entry	body_min	body_max	instruction_count	callers	callees
0x045DFA	FUN_00045dfa	0x045DFA	0x045DFA	0x045EF8	70		0x03D054:FUN_0003d054
0x046790	FUN_00046790	0x046790	0x046790	0x046798	4	0x04AF0A:FUN_0004af0a	0x045248:FUN_00045248
0x046AB4	FUN_00046ab4	0x046AB4	0x046AB4	0x046B2E	34		
0x046BC4	FUN_00046bc4	0x046BC4	0x046BC4	0x046BDE	9		
0x047004	FUN_00047004	0x047004	0x047004	0x04703A	16	0x041F30:FUN_00041f30	0x04703C:FUN_0004703c
0x04703C	FUN_0004703c	0x04703C	0x04703C	0x047074	23	0x047004:FUN_00047004	0x047076:FUN_00047076
0x047076	FUN_00047076	0x047076	0x047076	0x04708A	8	0x04703C:FUN_0004703c	
0x04736A	FUN_0004736a	0x04736A	0x04736A	0x0473B6	22		0x053A2E:FUN_00053a2e,0x0447F0:FUN_000447f0
0x04770E	FUN_0004770e	0x04770E	0x04770E	0x047716	3	0x03D054:FUN_0003d054	0x03C902:FUN_0003c902
0x04AF0A	FUN_0004af0a	0x04AF0A	0x04AF0A	0x04AF18	4		0x046790:FUN_00046790
0x04BBCA	FUN_0004bbca	0x04BBCA	0x04BBCA	0x04BBF0	8		0x04543E:FUN_0004543e,0x045CFC:FUN_00045cfc
0x0510C6	FUN_000510c6	0x0510C6	0x0510C6	0x0510C6	1	0x03A080:FUN_0003a080	
0x052466	FUN_00052466	0x052466	0x052466	0x052498	18		
0x0527D4	FUN_000527d4	0x0527D4	0x0527D4	0x052814	17		0x05291E:FUN_0005291e,0x052918:FUN_00052918,0x05290C:FUN_0005290c,0x052912:FUN_00052912
0x052816	FUN_00052816	0x052816	0x052816	0x05283C	12		0x05283E:FUN_0005283e
0x05283E	FUN_0005283e	0x05283E	0x05283E	0x05288A	24	0x052816:FUN_00052816	
0x05288C	FUN_0005288c	0x05288C	0x05288C	0x0528C8	19		
0x0528CA	FUN_000528ca	0x0528CA	0x0528CA	0x05290A	17		0x052924:FUN_00052924,0x052938:FUN_00052938,0x05294C:FUN_0005294c,0x052960:FUN_00052960
0x05290C	FUN_0005290c	0x05290C	0x05290C	0x052910	2	0x0527D4:FUN_000527d4	
0x052912	FUN_00052912	0x052912	0x052912	0x052916	2	0x0527D4:FUN_000527d4	
0x052918	FUN_00052918	0x052918	0x052918	0x05291C	2	0x0527D4:FUN_000527d4	
0x05291E	FUN_0005291e	0x05291E	0x05291E	0x052922	2	0x0527D4:FUN_000527d4	
0x052924	FUN_00052924	0x052924	0x052924	0x052936	5	0x0528CA:FUN_000528ca	
0x052938	FUN_00052938	0x052938	0x052938	0x05294A	5	0x0528CA:FUN_000528ca	
0x05294C	FUN_0005294c	0x05294C	0x05294C	0x05295E	5	0x0528CA:FUN_000528ca	
0x052960	FUN_00052960	0x052960	0x052960	0x052972	5	0x0528CA:FUN_000528ca	
0x052974	FUN_00052974	0x052974	0x052974	0x0529A8	19		
0x0529CC	FUN_000529cc	0x0529CC	0x0529CC	0x052A18	15		0x03A0EC:FUN_0003a0ec
0x052AA2	FUN_00052aa2	0x052AA2	0x052AA2	0x052AF4	26		
0x0538C8	FUN_000538c8	0x0538C8	0x0538C8	0x0538D4	4		
0x0538D6	FUN_000538d6	0x0538D6	0x0538D6	0x0538E6	5		
0x053934	FUN_00053934	0x053934	0x053934	0x053940	4		
0x053942	FUN_00053942	0x053942	0x053942	0x053952	5		
0x053A2E	FUN_00053a2e	0x053A2E	0x053A2E	0x053A6C	21	0x04736A:FUN_0004736a,0x042E38:FUN_00042e38,0x045D10:FUN_00045d10,0x053A6E:FUN_00053a6e,0x053B34:FUN_00053b34	
0x053A6E	FUN_00053a6e	0x053A6E	0x053A6E	0x053B32	56		0x053A2E:FUN_00053a2e
0x053B34	FUN_00053b34	0x053B34	0x053B34	0x053DC6	178		0x053DE4:FUN_00053de4,0x053DF2:FUN_00053df2,0x053E00:FUN_00053e00,0x053A2E:FUN_00053a2e,0x053DC8:FUN_00053dc8,0x053DD6:FUN_00053dd6
0x053DC8	FUN_00053dc8	0x053DC8	0x053DC8	0x053DD4	4	0x053B34:FUN_00053b34	
0x053DD6	FUN_00053dd6	0x053DD6	0x053DD6	0x053DE2	4	0x053B34:FUN_00053b34	
0x053DE4	FUN_00053de4	0x053DE4	0x053DE4	0x053DF0	4	0x053B34:FUN_00053b34	
0x053DF2	FUN_00053df2	0x053DF2	0x053DF2	0x053DFE	4	0x053B34:FUN_00053b34	
